"Source Name",Path,"Date Accessed","Data Source"
"8Vfremuneracion1erQuincena-Abril2022.lnk","C:\Users\ken\Documents\8Vfremuneracion1erQuincena-Abril2022.xlsx","2024-04-23 08:35:22 CST","001-003-LAptop-Pavana T3.E01"
Fundamento.docx.lnk,"C:\Users\ken\Documents\Fundamento.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Trabajadores_Contratados_por_Honorarios_en_el_Periodo.pdf.lnk","C:\Users\ken\Downloads\Trabajadores_Contratados_por_Honorarios_en_el_Periodo.pdf","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Movimiento_de_personal_por_Centro_Trabajo.lnk","C:\Users\ken\Documents\Movimiento_de_personal_por_Centro_Trabajo.xlsx","2024-04-23 08:37:22 CST","001-003-LAptop-Pavana T3.E01"
"LeyAmparo_07_06_2021.docx.lnk","C:\Users\ken\Documents\LeyAmparo_07_06_2021.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"resumen-nomina-8-qna-152021.xls.lnk","C:\Users\ken\Documents\resumen-nomina-8-qna-152021.xls","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Anexo 10-Matriz IPEVRDC .xlsx.xls.lnk","C:\Users\ken\Documents\Anexo 10-Matriz IPEVRDC .xlsx.xls","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"1345470_Latvian_ShowKeyart_c6786c02-f2e3-ea11-82a8-dd291e252010.webp.lnk","C:\Users\ken\Pictures\1345470_Latvian_ShowKeyart_c6786c02-f2e3-ea11-82a8-dd291e252010.webp","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Opera.lnk,"C:\Users\ken\AppData\Local\Programs\Opera","2024-04-22 12:15:30 CST","001-003-LAptop-Pavana T3.E01"
"8Vfremuneracion1erQuincena-Abril2022.xlsx.lnk","C:\Users\ken\Documents\8Vfremuneracion1erQuincena-Abril2022.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Movimiento_de_personal_por_Centro_Trabajo.xlsx.lnk","C:\Users\ken\Documents\Movimiento_de_personal_por_Centro_Trabajo.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Parrot-security-5.3_amd64.ova.lnk","C:\Users\ken\Downloads\Parrot-security-5.3_amd64.ova","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
пароль-1111.lnk,"C:\Users\ken\Downloads\Archive1111\пароль-1111.txt","2024-04-22 21:53:55 CST","001-003-LAptop-Pavana T3.E01"
пароль-1111.txt.lnk,"C:\Users\ken\Downloads\Archive1111\пароль-1111.txt","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"A-PR-026 V5 13-12-2022 Procedimiento gestión nómina.lnk","C:\Users\ken\Documents\A-PR-026 V5 13-12-2022 Procedimiento gestión nómina.xlsx","2024-04-23 08:37:47 CST","001-003-LAptop-Pavana T3.E01"
"A-PR-026 V5 13-12-2022 Procedimiento gestión nómina.xlsx.lnk","C:\Users\ken\Documents\A-PR-026 V5 13-12-2022 Procedimiento gestión nómina.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
,"C:\Users\ken\Downloads\Xd.png",,
